Au	ADP	au	i	i
moins	ADV	moins	i	i
onze	NUM	onze	i	i
personnes	NOUN	personne	f	p
sont	AUX	être	i	i
mortes	ADJ	mort	f	p
dans	ADP	dans	i	i
ces	DET	ce	i	i
intempéries	NOUN	intempérie	f	p
.	PUNCT	.	i	i
Le	DET	le	i	i
gouvernement	NOUN	gouvernement	m	s
a	AUX	avoir	i	i
annoncé	VERB	annoncer	m	s
une	DET	un	i	i
«	NOUN	«	i	i
procédure	ADJ	procédur	i	i
de	ADP	de	i	i
catastrophe	NOUN	catastrophe	f	s
naturelle	ADJ	naturel	f	s
accélérée	VERB	accélérer	f	s
»	PUNCT	»	i	i
.	PUNCT	.	i	i
Après	ADP	après	i	i
des	DET	un	i	i
inondations	NOUN	inondation	f	p
meurtrières	ADJ	meurtrier	f	p
,	PUNCT	,	i	i
l’	AUX	l’	i	i
Aude	NOUN	aude	i	i
commençait	VERB	commencer		
,	PUNCT	,	i	i
mardi	NOUN	mardi	m	s
16	NUM	16	i	i
octobre	NOUN	octobre	m	
,	PUNCT	,	i	i
à	ADP	à	i	i
panser	VERB	panser		
ses	DET	son	i	i
plaies	NOUN	plaie	f	p
et	CCONJ	et	i	i
à	ADP	à	i	i
évaluer	VERB	évaluer		
l’	PRON	l’	i	i
ampleur	VERB	ampleur	i	i
des	DET	un	i	i
dégâts	NOUN	dégât	m	p
,	PUNCT	,	i	i
tout	ADV	tout	i	i
en	ADP	en	i	i
surveillant	VERB	surveiller		
avec	ADP	avec	i	i
anxiété	NOUN	anxiété	f	s
les	DET	le	i	i
crues	NOUN	crue	f	p
des	DET	un	i	i
cours	NOUN	cours		p
d’	DET	d’	i	i
eau	NOUN	eau	f	s
.	PUNCT	.	i	i
Le	DET	le	i	i
bilan	NOUN	bilan	m	s
humain	ADJ	humain	m	s
des	DET	un	i	i
intempéries	NOUN	intempérie	f	p
,	PUNCT	,	i	i
qui	PRON	qui	i	i
a	AUX	avoir	i	i
fluctué	VERB	fluctuer	m	s
tout	ADV	tout	i	i
au	ADP	au	i	i
long	ADJ	long	m	s
de	ADP	de	i	i
la	DET	le	i	i
journée	NOUN	journée	f	s
de	ADP	de	i	i
lundi	NOUN	lundi	m	s
au	AUX	au	i	i
gré	VERB	grer	i	i
des	DET	un	i	i
communiqués	NOUN	communiqué	m	p
officiels	ADJ	officiel	m	p
,	PUNCT	,	i	i
est	AUX	être	i	i
très	ADV	très	i	i
lourd	ADJ	lourd	m	s
:	PUNCT	:	i	i
au	NOUN	au	i	i
moins	ADV	moins	i	i
onze	NUM	onze	i	i
personnes	NOUN	personne	f	p
ont	AUX	avoir	i	i
été	AUX	être	i	i
tuées	VERB	tuer	f	p
dans	ADP	dans	i	i
la	DET	le	i	i
nuit	NOUN	nuit	f	s
de	ADP	de	i	i
dimanche	NOUN	dimanche	m	s
à	ADP	à	i	i
lundi	NOUN	lundi	m	s
à	ADP	à	i	i
la	DET	le	i	i
suite	NOUN	suite	f	s
des	DET	un	i	i
violents	ADJ	violent	m	p
orages	NOUN	orage	m	p
.	PUNCT	.	i	i
Les	DET	le	i	i
écoles	NOUN	école	f	p
seront	AUX	être	i	i
fermées	VERB	fermer	f	p
mardi	NOUN	mardi	m	s
et	CCONJ	et	i	i
les	DET	le	i	i
transports	NOUN	transport	m	p
scolaires	ADJ	scolaire		p
suspendus	VERB	suspendre	m	p
dans	ADP	dans	i	i
tout	ADJ	tout	m	s
le	DET	le	i	i
département	NOUN	département	m	s
.	PUNCT	.	i	i
Dans	ADP	dans	i	i
la	DET	le	i	i
soirée	NOUN	soirée	f	s
de	ADP	de	i	i
lundi	NOUN	lundi	m	s
,	PUNCT	,	i	i
plus	ADV	plus	i	i
de	ADP	de	i	i
1	NUM	1	i	i
500	NUM	500	i	i
foyers	NOUN	foyer	m	p
étaient	AUX	être	i	i
privés	VERB	priver	m	p
d’	DET	d’	i	i
électricité	NOUN	électricité	f	s
.	PUNCT	.	i	i
Polémique	PROPN	Polémique	i	i
sur	ADP	sur	i	i
le	DET	le	i	i
système	NOUN	système	m	s
d’	AUX	d’	i	i
alerte	NOUN	alerte	f	s
Le	DET	le	i	i
premier	ADJ	premier	m	s
ministre	NOUN	ministre		s
Edouard	PROPN	Edouard	i	i
Philippe	PROPN	Philippe	i	i
