1	C'	ce	CLS	CLS		2	suj	2	suj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	1	1	3	_	1	3	_	_	_
2	était	être	V	V	n=s|t=I|p=3	0	root	0	root	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	3	1	8	imparfait	3	8	_	_	_
3	une	une	DET	DET	n=s|g=f	4	det	4	det	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	9	1	12	_	9	12	_	_	_
4	adolescente	adolescent	NC	NC	n=s|g=f	2	obj	2	obj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	13	1	24	_	13	24	_	_	_
5	qui	qui	PROREL	PROREL	n=s	6	suj	6	suj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	25	1	28	_	25	28	_	_	_
6	habitait	habiter	V	V	n=s|t=I|p=3	2	mod	2	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	29	1	37	imparfait	29	37	_	_	_
7	une	une	DET	DET	n=s|g=f	8	det	8	det	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	38	1	41	_	38	41	_	_	_
8	maison	maison	NC	NC	n=s|g=f	6	obj	6	obj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	42	1	48	_	42	48	_	Err	maixx	42-48
9	de	de	P	P		8	dep	8	dep	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	49	1	51	_	49	51	_	_	_
10	village	village	NC	NC	n=s|g=m	9	prep	9	prep	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	52	1	59	_	52	59	_	Err	Village	52-59
11	.	.	PONCT	PONCT		10	ponct	10	ponct	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	59	1	60	_	59	60	_	_	_

1	Elle	elle	CLS	CLS	n=s|g=f|p=3	2	suj	2	suj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	61	1	65	_	61	65	_	_	_
2	habitait	habiter	V	V	n=s|t=I|p=3	0	root	0	root	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	66	1	74	imparfait	66	74	_	_	_
3	dans	dans	P	P		2	mod	2	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	75	1	79	_	75	79	_	_	_
4	cette	cette	DET	DET	n=s|g=f	5	det	5	det	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	80	1	85	_	80	85	_	_	_
5	maison	maison	NC	NC	n=s|g=f	3	prep	3	prep	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	86	1	92	_	86	92	_	_	_
6	depuis	depuis	P	P		2	mod	2	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	93	1	99	_	93	99	_	_	_
7	longtemps	longtemps	ADV	ADV		6	mod	6	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	100	1	109	_	100	109	_	_	_
8	.	.	PONCT	PONCT		7	ponct	7	ponct	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	109	1	110	_	109	110	_	_	_

1	Elle	elle	CLS	CLS	n=s|g=f|p=3	2	suj	2	suj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	111	1	115	_	111	115	_	_	_
2	était	être	V	V	n=s|t=I|p=3	0	root	0	root	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	116	1	121	imparfait	116	121	_	_	_
3	plutôt	plutôt	ADV	ADV		2	mod	2	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	122	1	128	_	122	128	_	Err	plûtôt	122-128
4	discrète	discret	ADJ	ADJ	n=s|g=f	2	ats	2	ats	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	129	1	137	_	129	137	_	_	_
5	mystérieuse	mystérieux	ADJ	ADJ	n=s|g=f	2	mod	2	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	138	1	149	_	138	149	_	Err	mystérieux	138-149
6	.	.	PONCT	PONCT		5	ponct	5	ponct	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	149	1	150	_	149	150	_	_	_

1	C'	ce	CLS	CLS		2	suj	2	suj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	151	1	153	_	151	153	_	_	_
2	était	être	V	V	n=s|t=I|p=3	0	root	0	root	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	153	1	158	imparfait	153	158	_	_	_
