Au	ADP	au
moins	ADV	moins
onze	NUM	onze
personnes	NOUN	personne
sont	AUX	être
mortes	ADJ	mort
dans	ADP	dans
ces	DET	ce
intempéries	NOUN	intempérie
.	PUNCT	.
Le	DET	le
gouvernement	NOUN	gouvernement
a	AUX	avoir
annoncé	VERB	annoncer
une	DET	un
«	NOUN	«
procédure	ADJ	procédur
de	ADP	de
catastrophe	NOUN	catastrophe
naturelle	ADJ	naturel
accélérée	VERB	accélérer
»	PUNCT	»
.	PUNCT	.
Après	ADP	après
des	DET	un
inondations	NOUN	inondation
meurtrières	ADJ	meurtrier
,	PUNCT	,
l’	AUX	l’
Aude	NOUN	aude
commençait	VERB	commencer
,	PUNCT	,
mardi	NOUN	mardi
16	NUM	16
octobre	NOUN	octobre
,	PUNCT	,
à	ADP	à
panser	VERB	panser
ses	DET	son
plaies	NOUN	plaie
et	CCONJ	et
à	ADP	à
évaluer	VERB	évaluer
l’	PRON	l’
ampleur	VERB	ampleur
des	DET	un
dégâts	NOUN	dégât
,	PUNCT	,
tout	ADV	tout
en	ADP	en
surveillant	VERB	surveiller
avec	ADP	avec
anxiété	NOUN	anxiété
les	DET	le
crues	NOUN	crue
des	DET	un
cours	NOUN	cours
d’	DET	d’
eau	NOUN	eau
.	PUNCT	.
Le	DET	le
bilan	NOUN	bilan
humain	ADJ	humain
des	DET	un
intempéries	NOUN	intempérie
,	PUNCT	,
qui	PRON	qui
a	AUX	avoir
fluctué	VERB	fluctuer
tout	ADV	tout
au	ADP	au
long	ADJ	long
de	ADP	de
la	DET	le
journée	NOUN	journée
de	ADP	de
lundi	NOUN	lundi
au	AUX	au
gré	VERB	grer
des	DET	un
communiqués	NOUN	communiqué
officiels	ADJ	officiel
,	PUNCT	,
est	AUX	être
très	ADV	très
lourd	ADJ	lourd
:	PUNCT	:
au	NOUN	au
moins	ADV	moins
onze	NUM	onze
personnes	NOUN	personne
ont	AUX	avoir
été	AUX	être
tuées	VERB	tuer
dans	ADP	dans
la	DET	le
nuit	NOUN	nuit
de	ADP	de
dimanche	NOUN	dimanche
à	ADP	à
lundi	NOUN	lundi
à	ADP	à
la	DET	le
suite	NOUN	suite
des	DET	un
violents	ADJ	violent
orages	NOUN	orage
.	PUNCT	.
Les	DET	le
écoles	NOUN	école
seront	AUX	être
fermées	VERB	fermer
mardi	NOUN	mardi
et	CCONJ	et
les	DET	le
transports	NOUN	transport
scolaires	ADJ	scolaire
suspendus	VERB	suspendre
dans	ADP	dans
tout	ADJ	tout
le	DET	le
département	NOUN	département
.	PUNCT	.
Dans	ADP	dans
la	DET	le
soirée	NOUN	soirée
de	ADP	de
